Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Dynamic Mechanical Loading,18,1,Pre Light Soak,BKL,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,Light Soak >40 kWh/m�,,Light Soak >40 kWh/m�,17,FALSE,
,,3,Post Light Soak,,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,Low-Light I-V Curve,38,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,4,DML 1000,,DML 1000,8,FALSE,
,,5,Post DML 1000,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,6,TC 50,,TC 50,23,FALSE,
,,7,Post TC 50,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,8,HF 10 #1,,HF 10,9,FALSE,
,,9,Post HF 10 #1,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,10,HF 10 #2,,HF 10,9,FALSE,
,,11,Post HF 10 #2,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,12,HF 10 #3,,HF 10,9,FALSE,
,,13,Post HF 10 #3,,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,Low-Light I-V Curve,38,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Diode Test,1,FALSE,
