Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Backsheet Durability Sequence,5,1,Pre Stress,BKL,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,2,DH 1000,,DH 1000,7,FALSE,
,,3,Post DH 1000,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,4,UV 65 #1,,UV 65 (Rear),27,FALSE,
,,5,Post UV 65 #1,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,6,TC 50 #1,,TC 50,23,FALSE,
,,7,HF 10 #1,,HF10,9,FALSE,
,,8,Post TC 50 HF 10 #1,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,9,UV 65 #2,,UV 65 (Rear),27,FALSE,
,,10,Post UV 65 #2,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,11,TC 50 #2,,TC 50,23,FALSE,
,,12,HF 10 #2,,HF10,9,FALSE,
,,13,Post TC 50 HF 10 #2,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,14,UV 65 #3,,UV 65 (Rear),27,FALSE,
,,15,Post UV 65 #3,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
,,16,TC 50 #3,,TC 50,23,FALSE,
,,17,HF 10 #3,,HF10,9,FALSE,
,,18,UV 6.5,,UV 6.5 (Rear),29,FALSE,
,,19,Post TC 50 HF 10 UV 6.5,,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,,,,Colorimeter,5,FALSE,
