Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
PID 192 (-),14,1,Pre Light Soak,DAV,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,Light Soak >30 kWh/m²,,Light Soak >30 kWh/m²,16,FALSE,
,,3,Post Light Soak >30 kWh/m²,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,4,Light Soak >10 kWh/m² #1,,Light Soak >10 kWh/m²,15,FALSE,
,,5,Post Light Soak >10 kWh/m² #1,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,6,Post Light Soak,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,7,Pre Stress,BKL,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,EL Image at 0.1x Isc,18,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,8,PID 96 (-) #1,,PID 96 (-),32,FALSE,
,,9,Post PID 96 (-) #1,,I-V Curve at STC (Front),21,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,10,PID 96 (-) #2,,PID 96 (-),32,FALSE,
,,11,Post PID 96 (-) #2,,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at STC (Rear),33,TRUE,Bifacial only
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,EL Image at 0.1x Isc,18,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
