Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Thermal Cycling 600 (FS S6B),58,1,Pre Light Soak,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,Light Soak >40 kWh/m²,DAV,Light Soak >40 kWh/m²,17,FALSE,
,,3,Pre Stress,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,4,TC 200 #1,,TC 200,22,FALSE,
,,5,Post TC 200 #1,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,6,TC 200 #2,,TC 200,22,FALSE,
,,7,Post TC 200 #2,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,8,TC 200 #3,,TC 200,22,FALSE,
,,9,Post TC 200 #3,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
