Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Damp Heat 2000 (FS S6B),59,1,Pre Light Soak,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,Light Soak >40 kWh/m²,DAV,Light Soak >40 kWh/m²,17,FALSE,
,,3,Pre Stress,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,EL Image at 0.1x Isc,18,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,4,DH 1000 #1,,DH 1000,7,FALSE,
,,5,Post DH 1000 #1,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,6,DH 1000 #2,,DH 1000,7,FALSE,
,,7,Post DH 1000 #2,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,EL Image at 0.1x Isc,18,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,8,B-O Stabilization,,B-O Stabilization,34,FALSE,
,,9,Post B-O Stabilization,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,EL Image at 0.1x Isc,18,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
