Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Mechanical Stress Sequence (FS S6B),60,1,Pre Light Soak,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,Light Soak >30 kWh/m²,DAV,Light Soak >30 kWh/m²,16,FALSE,
,,3,Post Light Soak >30 kWh/m²,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,4,Light Soak >10 kWh/m² #1,DAV,Light Soak >10 kWh/m²,15,FALSE,
,,5,Post Light Soak >10 kWh/m² #1,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,6,Pre Stress,,I-V Curve at LIC,14,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,7,SML 3,,SML 3,20,FALSE,
,,8,Post SML 3,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,9,DML 1000,,DML 1000,8,FALSE,
,,10,Post DML 1000,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,11,TC 50,,TC 50,23,FALSE,
,,12,Post TC 50,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,13,HF 10,,HF 10,9,FALSE,
,,14,Post HF 10,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
