Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
Field Exposure (Natural Ground) (FS S6B),66,1,Pre FE,BKL,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,2,FE 180 #1,,180 Days FE,4,FALSE,
,,3,Post FE 180 #1,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,4,FE 180 #2,,180 Days FE,4,FALSE,
,,5,Post FE 180 #2,,I-V Curve at STC (FS S6B),49,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
