Test Sequence Name,test_sequence,execution_group_number,execution_group_name,Site,Procedure Name,procedure_definition,allow_skip,Reason for Skip
HF 10 + LIC + DML,53,1,Pre Stress,BKL,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
,,2,HF 10,,HF 10,9,FALSE,
,,3,Post HF 10,,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,4,DML 100,,DML 1000,8,FALSE,
,,5,Post DML 1000,,I-V Curve at STC (Front),21,FALSE,
,,,,,I-V Curve at LIC,14,FALSE,
,,,,,EL Image at 1x Isc,12,FALSE,
,,,,,Visual Inspection,2,FALSE,
,,,,,Wet Leakage Current Test,3,FALSE,
